match_id,round,date,time,home_team,away_team,home_handle,away_handle,trigger_types,red_card,controversie,player_error,scrape_start_utc,scrape_end_utc
M033,12,9 november 2024,18:45,PEC Zwolle,Fortuna Sittard,@PECZwolle,@FortunaSittard,No,Yes,No,No,2024-11-08T17:45:00+00:00,2024-11-10T05:45:00+00:00
M034,12,9 november 2024,21:00,RKC Waalwijk,NEC,@RKCWAALWIJK,@necnijmegen,No,Yes,No,No,2024-11-08T20:00:00+00:00,2024-11-10T08:00:00+00:00
M035,12,10 november 2024,14:30,FC Twente,Ajax,@fctwente,@AFCAjax,Rivalry Match,No,No,No,2024-11-09T13:30:00+00:00,2024-11-11T01:30:00+00:00
M036,12,10 november 2024,14:30,SC Heerenveen,Go Ahead Eagles,@scHeerenveen,@GAEagles,No,No,Yes,No,2024-11-09T13:30:00+00:00,2024-11-11T01:30:00+00:00
M037,13,24 november 2024,14:30,Willem II,NAC Breda,@WillemII,@NACnl,Derby/Rivalry Match,No,No,No,2024-11-23T13:30:00+00:00,2024-11-25T01:30:00+00:00
M038,14,1 december 2024,14:30,FC Twente,Go Ahead Eagles,@fctwente,@GAEagles,Derby/Rivalry Match,No,No,No,2024-11-30T13:30:00+00:00,2024-12-02T01:30:00+00:00
M039,15,6 december 2024,20:00,PSV,FC Twente,@PSV,@fctwente,Rivalry Match,No,No,No,2024-12-05T19:00:00+00:00,2024-12-07T07:00:00+00:00
M040,15,8 december 2024,14:30,AZ,Ajax,@AZAlkmaar,@AFCAjax,Derby/Rivalry Match,No,No,No,2024-12-07T13:30:00+00:00,2024-12-09T01:30:00+00:00
M041,16,15 december 2024,12:15,FC Utrecht,Go Ahead Eagles,@fcutrecht,@GAEagles,No,Yes,Yes,No,2024-12-14T11:15:00+00:00,2024-12-15T23:15:00+00:00
M042,16,15 december 2024,16:45,Ajax,Almere City FC,@AFCAjax,@AlmereCityFC,No,No,Yes,No,2024-12-14T15:45:00+00:00,2024-12-16T03:45:00+00:00
M043,16,15 december 2024,20:00,NAC Breda,AZ,@NACnl,@AZAlkmaar,No,Yes,No,No,2024-12-14T19:00:00+00:00,2024-12-16T07:00:00+00:00
M044,17,20 december 2024,20:00,RKC Waalwijk,PEC Zwolle,@RKCWAALWIJK,@PECZwolle,No,No,Yes,No,2024-12-19T19:00:00+00:00,2024-12-21T07:00:00+00:00
M045,17,21 december 2024,20:00,AZ,FC Twente,@AZAlkmaar,@fctwente,Rivalry Match,No,No,No,2024-12-20T19:00:00+00:00,2024-12-22T07:00:00+00:00
M046,17,22 december 2024,14:30,PSV,Feyenoord,@PSV,@Feyenoord,Derby/Rivalry Match,No,No,No,2024-12-21T13:30:00+00:00,2024-12-23T01:30:00+00:00
M047,17,22 december 2024,14:30,FC Utrecht,Fortuna Sittard,@fcutrecht,@FortunaSittard,No,Yes,No,No,2024-12-21T13:30:00+00:00,2024-12-23T01:30:00+00:00
M048,17,22 december 2024,21:00,Heracles Almelo,FC Groningen,@HeraclesAlmelo,@fcgroningen,No,Yes,No,No,2024-12-21T20:00:00+00:00,2024-12-23T08:00:00+00:00
M049,18,11 januari 2025,16:30,Heracles Almelo,Sparta,@HeraclesAlmelo,@SpartaRotterdam,No,Yes,No,No,2025-01-10T15:30:00+00:00,2025-01-12T03:30:00+00:00
M050,18,11 januari 2025,21:00,PSV,AZ,@PSV,@AZAlkmaar,Rivalry Match,No,No,No,2025-01-10T20:00:00+00:00,2025-01-12T08:00:00+00:00
M051,19,18 januari 2025,16:30,PEC Zwolle,PSV,@PECZwolle,@PSV,No,No,No,Yes,2025-01-17T15:30:00+00:00,2025-01-19T03:30:00+00:00
M052,20,25 januari 2025,21:00,FC Groningen,SC Heerenveen,@fcgroningen,@scHeerenveen,Derby/Rivalry Match,No,No,No,2025-01-24T20:00:00+00:00,2025-01-26T08:00:00+00:00
M053,20,26 januari 2025,12:15,Fortuna Sittard,PEC Zwolle,@FortunaSittard,@PECZwolle,No,Yes,No,No,2025-01-25T11:15:00+00:00,2025-01-26T23:15:00+00:00
M054,20,26 januari 2025,14:30,RKC Waalwijk,Willem II,@RKCWAALWIJK,@WillemII,Derby/Rivalry Match,No,No,No,2025-01-25T13:30:00+00:00,2025-01-27T01:30:00+00:00
M055,20,23 februari 2025,14:30,Ajax,Go Ahead Eagles,@AFCAjax,@GAEagles,No,Yes,No,No,2025-02-22T13:30:00+00:00,2025-02-24T01:30:00+00:00
M056,20,23 februari 2025,14:30,FC Twente,NEC,@fctwente,@necnijmegen,No,No,No,Yes,2025-02-22T13:30:00+00:00,2025-02-24T01:30:00+00:00
M057,21,2 februari 2025,12:15,Almere City FC,RKC Waalwijk,@AlmereCityFC,@RKCWAALWIJK,No,Yes,No,No,2025-02-01T11:15:00+00:00,2025-02-02T23:15:00+00:00
M058,21,2 februari 2025,14:30,Ajax,Feyenoord,@AFCAjax,@Feyenoord,Derby/Rivalry Match,No,No,No,2025-02-01T13:30:00+00:00,2025-02-03T01:30:00+00:00
M059,21,2 februari 2025,14:30,Go Ahead Eagles,FC Twente,@GAEagles,@fctwente,Derby/Rivalry Match,No,No,No,2025-02-01T13:30:00+00:00,2025-02-03T01:30:00+00:00
M060,21,2 februari 2025,20:00,Willem II,AZ,@WillemII,@AZAlkmaar,No,Yes,No,No,2025-02-01T19:00:00+00:00,2025-02-03T07:00:00+00:00
M061,22,8 februari 2025,16:30,Heracles Almelo,Go Ahead Eagles,@HeraclesAlmelo,@GAEagles,Derby/Rivalry Match,No,No,No,2025-02-07T15:30:00+00:00,2025-02-09T03:30:00+00:00
M062,22,8 februari 2025,20:00,FC Groningen,NEC,@fcgroningen,@necnijmegen,No,Yes,No,No,2025-02-07T19:00:00+00:00,2025-02-09T07:00:00+00:00
M063,22,8 februari 2025,21:00,Feyenoord,Sparta,@Feyenoord,@SpartaRotterdam,Derby/Rivalry Match,No,No,No,2025-02-07T20:00:00+00:00,2025-02-09T08:00:00+00:00
M064,22,9 februari 2025,16:45,SC Heerenveen,FC Twente,@scHeerenveen,@fctwente,No,Yes,Yes,No,2025-02-08T15:45:00+00:00,2025-02-10T03:45:00+00:00
M065,23,16 februari 2025,12:15,NEC,Almere City FC,@necnijmegen,@AlmereCityFC,No,No,Yes,No,2025-02-15T11:15:00+00:00,2025-02-16T23:15:00+00:00
M066,24,1 maart 2025,18:45,Go Ahead Eagles,PSV,@GAEagles,@PSV,No,No,No,Yes,2025-02-28T17:45:00+00:00,2025-03-02T05:45:00+00:00
M067,24,2 maart 2025,12:15,SC Heerenveen,AZ,@scHeerenveen,@AZAlkmaar,Rivalry Match,No,No,No,2025-03-01T11:15:00+00:00,2025-03-02T23:15:00+00:00
M068,25,7 maart 2025,20:00,NAC Breda,Sparta,@NACnl,@SpartaRotterdam,No,Yes,No,No,2025-03-06T19:00:00+00:00,2025-03-08T07:00:00+00:00
M069,25,9 maart 2025,14:30,NEC,Go Ahead Eagles,@necnijmegen,@GAEagles,No,Yes,No,No,2025-03-08T13:30:00+00:00,2025-03-10T01:30:00+00:00
M070,26,16 maart 2025,14:30,FC Twente,Feyenoord,@fctwente,@Feyenoord,Rivalry Match,No,No,No,2025-03-15T13:30:00+00:00,2025-03-17T01:30:00+00:00
M071,26,16 maart 2025,16:45,Ajax,AZ,@AFCAjax,@AZAlkmaar,Derby/Rivalry Match,Yes,Yes,No,2025-03-15T15:45:00+00:00,2025-03-17T03:45:00+00:00
M072,27,29 maart 2025,16:30,NAC Breda,FC Groningen,@NACnl,@fcgroningen,No,Yes,No,No,2025-03-28T15:30:00+00:00,2025-03-30T03:30:00+00:00
M073,27,29 maart 2025,18:45,Willem II,Almere City FC,@WillemII,@AlmereCityFC,No,Yes,No,No,2025-03-28T17:45:00+00:00,2025-03-30T05:45:00+00:00
M074,27,30 maart 2025,12:15,PEC Zwolle,RKC Waalwijk,@PECZwolle,@RKCWAALWIJK,No,Yes,No,No,2025-03-29T10:15:00+00:00,2025-03-30T22:15:00+00:00
M075,27,30 maart 2025,14:30,PSV,Ajax,@PSV,@AFCAjax,Derby/Rivalry Match,No,Yes,No,2025-03-29T12:30:00+00:00,2025-03-31T00:30:00+00:00
M076,27,30 maart 2025,16:45,Heracles Almelo,FC Twente,@HeraclesAlmelo,@fctwente,Derby/Rivalry Match,No,No,No,2025-03-29T14:45:00+00:00,2025-03-31T02:45:00+00:00
M077,28,5 april 2025,16:30,AZ,Feyenoord,@AZAlkmaar,@Feyenoord,Derby/Rivalry Match,No,No,No,2025-04-04T14:30:00+00:00,2025-04-06T02:30:00+00:00
M078,28,6 april 2025,14:30,Sparta,NEC,@SpartaRotterdam,@necnijmegen,No,Yes,No,No,2025-04-05T12:30:00+00:00,2025-04-07T00:30:00+00:00
M079,29,12 april 2025,16:30,Fortuna Sittard,Feyenoord,@FortunaSittard,@Feyenoord,No,Yes,No,No,2025-04-11T14:30:00+00:00,2025-04-13T02:30:00+00:00
