author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@CityDeClub,Not a bad 2 weeks for Martins aye,2025-03-29 20:18:00+00:00,0,https://nitter.net/AlmereCityFC/status/1906072073396478112,https://nitter.net/LuxembourgFooty/status/1906073673250877743#m,@LuxembourgFooty,,M073_AlmereCityFC,@AlmereCityFC
@caldervilia,"Punten tuh kayaknya ponten yang biasa disebut guru2 pas sd. Nilai kali artinya, atau score🤣",2025-03-30 12:24:00+00:00,0,https://nitter.net/AlmereCityFC/status/1906072073396478112,https://nitter.net/donijs77/status/1906180325883142351#m,@donijs77,"Punten di belanda artinya apa
Kalo di sunda artinya permisi atau minta maaf",M073_AlmereCityFC,@AlmereCityFC
@CityDeClub,als we een minuut kunnen wachten voor een topsporter die pijntjes heeft kunnen we ook een minuut hiervoor stil staan,2025-03-29 18:14:00+00:00,1,https://nitter.net/AlmereCityFC/status/1906046690752106997,https://nitter.net/int_personae/status/1906046954770948330#m,@int_personae,"Terecht, dit is topsport..",M073_AlmereCityFC,@AlmereCityFC
@int_personae,Dan kunnen we overal wel een minuutje voor stoppen.,2025-03-29 18:16:00+00:00,1,https://nitter.net/AlmereCityFC/status/1906046690752106997,https://nitter.net/int_personae/status/1906046954770948330#m,@int_personae,"Terecht, dit is topsport..",M073_AlmereCityFC,@AlmereCityFC
